feature,mean_importance
extraction_type_afridev,-0.002488863792270457
basin_Rufiji,-0.0012582050036988647
lga_Muleba,-0.0012558164349757428
source_other,-0.0010529377223691295
scheme_management_no_data,-0.00081522610937248
subvillage_Mtakuja,-0.0007957129685208564
lga_Ngara,-0.0006796848237747843
lga_Kilwa,-0.000663698127062562
subvillage_Mbuyuni,-0.0006419376432895807
lga_Mpanda,-0.0004449374671327111
lga_Hai,-0.00042378110010181657
lga_Ilemela,-0.00040985821848739113
basin_Pangani,-0.0004073805901338767
scheme_management_Other,-0.0003939415412955394
lga_Uyui,-0.00038190875193107044
scheme_name_DANIDA,-0.0003772823422216187
scheme_name_Machumba estate pipe line,-0.00034360229452143896
basin_Lake Tanganyika,-0.00034326584860687736
lga_Bukoba Rural,-0.00033933901063868397
ward_Mishamo,-0.0003105755469761884
lga_Babati,-0.00030660292091784226
funder_Water,-0.00027506338991227785
lga_Kasulu,-0.00023999893888834167
installer_DANIDA,-0.0002352824623696681
basin_Ruvuma / Southern Coast,-0.0002313422569656387
lga_Moshi Urban,-0.00022093194506598302
lga_Lushoto,-0.0002150725085288574
subvillage_1,-0.00019504292071799157
lga_Kilosa,-0.00018416375664531692
lga_Magu,-0.00017911797075070846
management_parastatal,-0.00017644727258016025
installer_TCRS,-0.00017453125957404004
quantity_seasonal,-0.00016960549051875384
management_water board,-0.00016765586794357246
lga_Tanga,-0.00016630763120487613
lga_Same,-0.0001597609066404937
ward_Imalinyi,-0.00015465210606349089
lga_Tabora Urban,-0.00015281010597248957
ward_Igosi,-0.00014575068010022063
subvillage_Msikitini,-0.00013075449764732294
scheme_name_None,-0.000129578808415709
ward_Mtwango,-0.00012423947190400852
ward_Chalinze,-0.00012285943552854396
ward_Matola,-0.00012250471264130258
water_quality_coloured,-0.00011338331294250548
subvillage_Sokoni,-0.00011052558198572093
lga_Nzega,-0.00010478973197753927
extraction_type_other - swn 81,-9.644175823781964e-05
lga_Temeke,-9.151926231574237e-05
lga_Geita,-9.069272940983585e-05
installer_Community,-8.444509711118542e-05
subvillage_Miembeni,-7.638723419516325e-05
basin_Internal,-7.337172183911057e-05
scheme_name_wanging'ombe supply scheme,-6.970534380528193e-05
lga_Sumbawanga Rural,-6.814193278554814e-05
lga_Nkasi,-6.722025864296377e-05
management_water authority,-6.70284908032448e-05
lga_Mkuranga,-6.570343039933313e-05
