feature,mean_importance
management_water board,-0.0052507274967792394
id,-0.005247210775464817
scheme_management_Parastatal,-0.003298486893406105
funder_Ministry Of Water,-0.003136742959013716
lga_Kishapu,-0.0029746805675994192
source_hand dtw,-0.002712398754088885
lga_Bukoba Urban,-0.0019954278201823827
lga_Rorya,-0.0018903832256876641
lga_Kilosa,-0.001765525851941696
lga_Ulanga,-0.0014764858713713247
scheme_name_I,-0.0014203912152529695
installer_HESAWA,-0.0013750584110843178
scheme_management_no_data,-0.001307202621418191
source_dam,-0.0012673337443373845
ward_Maji ya Chai,-0.0012359456690851588
installer_WEDECO,-0.0011962778972364418
funder_Norad,-0.0011197190434529603
funder_Rwssp,-0.0010823718602916976
funder_0,-0.001075162321300005
installer_0,-0.001042354253499278
ward_Chalinze,-0.001011006378424617
lga_Ileje,-0.0009450614009861358
lga_Mbozi,-0.0009106927312244828
subvillage_Sokoni,-0.0008327676722548194
permit_False,-0.000810757920815619
ward_Maramba,-0.0007885275399323932
installer_LGA,-0.000778659950759919
lga_Handeni,-0.0007786476176667057
subvillage_Mjini,-0.0007248214454267377
scheme_name_Kirua kahe gravity water supply trust,-0.0006936644607181241
quantity_seasonal,-0.000692048200231743
funder_Private Individual,-0.0006774401887494674
lga_Tanga,-0.0005712189231315446
extraction_type_submersible,-0.0005594974979179712
subvillage_Majengo,-0.0005563876650879873
lga_Ukerewe,-0.0005279237380232616
scheme_name_Chalinze wate,-0.0005092751815094721
lga_Igunga,-0.00043797530188953714
lga_Monduli,-0.00043039783680753896
funder_Water,-0.0004257237073681974
management_wua,-0.000389616999557596
ward_Nduruma,-0.000316237285118115
lga_Bahi,-0.00029990470997320884
installer_DANID,-0.00029451890450318265
ward_Kitunda,-0.000290536244903139
scheme_name_Handeni Trunk Main(H,-0.00026195072302226396
subvillage_Msikitini,-0.00025439210717641546
lga_Korogwe,-0.0002494435057152522
subvillage_Mbuyuni,-0.00020599679312518492
extraction_type_india mark iii,-0.00020060792131038063
ward_Igosi,-0.00019987394571905349
lga_Kilombero,-0.0001989890336053568
source_unknown,-0.0001704840934522389
basin_Lake Rukwa,-0.00014767645708233524
ward_Matola,-0.0001409579546166828
installer_CES,-0.00013893472903485636
funder_Germany Republi,-0.00011864433682935438
lga_Kibaha,-0.00011294836375974615
funder_Tcrs,-9.265281286883199e-05
ward_Usuka,-8.97877113731349e-05
lga_Tarime,-8.110909447760495e-05
lga_Siha,-8.11014496691298e-05
lga_Missungwi,-7.392209159022834e-05
ward_Zinga/Ikerege,-5.96807419712686e-05
lga_Bukombe,-3.0569021592885545e-05
lga_Nanyumbu,-2.011512812918337e-05
installer_Hesawa,-1.9384716045656168e-05
scheme_name_Makwale water supplied sche,-5.690468342600674e-06
scheme_name_Ngana water supplied scheme,-3.058992190330123e-06
ward_Msindo,0.0
scheme_management_None,0.0
lga_Nyamagana,0.0
scheme_name_Machumba estate pipe line,0.0
lga_Arusha Urban,0.0
scheme_management_Trust,0.0
extraction_type_walimi,0.0
lga_Songea Urban,0.0
management_trust,0.0
subvillage_1,0.0
lga_Ilemela,0.0
lga_Lindi Urban,0.0
water_quality_fluoride abandoned,0.0
lga_Shinyanga Urban,0.0
lga_Morogoro Urban,0.0
extraction_type_other - mkulima/shinyanga,0.0
lga_Sumbawanga Rural,1.516034403103994e-06
ward_Vikindu,1.000749476327556e-05
lga_Kigoma Urban,2.0256002270202524e-05
subvillage_Muungano,2.600301011272954e-05
ward_Chanika,2.611856951124647e-05
management_parastatal,3.7788220660495143e-05
lga_Nzega,5.213185694796785e-05
scheme_name_DANIDA,5.278636299625994e-05
funder_Dhv,6.11340501450064e-05
scheme_name_Bagamoyo wate,6.777112301254995e-05
ward_Magomeni,8.8868257656749e-05
scheme_management_Water Board,0.00011194449558566965
ward_Itete,0.00012135805163875358
lga_Tandahimba,0.00012576956138454776
management_other - school,0.00013346314244537804
lga_Temeke,0.0001567995508708675
lga_Chunya,0.0001583836131444638
ward_Mishamo,0.0001605861901537109
scheme_management_SWC,0.00016817452160990953
lga_Bunda,0.00017025136461887858
lga_Meatu,0.00017059593032253684
water_quality_coloured,0.00018746739491553032
